   ,number ,value                 ,datetime_start             ,datetime_complete          ,duration               ,params_activation_fn ,params_batch_size ,params_clip_range ,params_ent_coef        ,params_gae_lambda ,params_gamma ,params_learning_rate   ,params_max_grad_norm ,params_n_epochs ,params_n_steps ,params_net_arch ,params_vf_coef        ,state
46 ,    46 ,-15.199328699999999   ,2024-01-27 04:05:30.123228 ,2024-01-27 04:10:14.389399 ,0 days 00:04:44.266171 ,tanh                 ,                8 ,              0.4 ,8.935486457677915e-08  ,             0.98 ,      0.99   ,0.0003281024158132731  ,                 0.5 ,             10 ,            64 ,tiny            ,0.5297892509906537    ,PRUNED
47 ,    47 ,-1.9313860000000005   ,2024-01-27 04:10:14.390399 ,2024-01-27 04:13:37.962609 ,0 days 00:03:23.572210 ,relu                 ,              128 ,              0.2 ,3.719257246577435e-08  ,             0.95 ,      0.9999 ,0.0014432870443072264  ,                 0.8 ,              5 ,            16 ,tiny            ,0.8744096499749417    ,PRUNED
48 ,    48 ,-8.4256281            ,2024-01-27 04:13:37.963609 ,2024-01-27 04:18:39.732575 ,0 days 00:05:01.768966 ,relu                 ,              512 ,              0.4 ,1.0179833270188145e-08 ,             0.8  ,      0.995  ,0.012067032676581511   ,                 0.5 ,             10 ,             8 ,medium          ,0.7195264726693581    ,PRUNED
49 ,    49 ,-2.8942102000000003   ,2024-01-27 04:18:39.742716 ,2024-01-27 04:22:26.999210 ,0 days 00:03:47.256494 ,relu                 ,               32 ,              0.1 ,1.693350978275608e-07  ,             1.0  ,      0.95   ,0.004709137487920506   ,                 5.0 ,             20 ,           256 ,tiny            ,0.11606789518888139   ,PRUNED
50 ,    50 ,-6.314210400000002    ,2024-01-27 04:22:27.000213 ,2024-01-27 04:25:21.268625 ,0 days 00:02:54.268412 ,relu                 ,               16 ,              0.3 ,2.1492407402850982e-06 ,             0.92 ,      0.99   ,0.0008801966212352316  ,                 0.9 ,              1 ,           512 ,small           ,0.6128913530729883    ,PRUNED
51 ,    51 ,-3.9782241000000007   ,2024-01-27 04:25:21.268625 ,2024-01-27 04:28:39.914701 ,0 days 00:03:18.646076 ,relu                 ,              256 ,              0.3 ,1.643034405737585e-08  ,             0.9  ,      0.98   ,0.006025128063072952   ,                 1.0 ,             20 ,            64 ,small           ,0.8138913600028709    ,PRUNED
52 ,    52 ,0.1346497000000002    ,2024-01-27 04:28:39.915701 ,2024-01-27 04:31:59.530580 ,0 days 00:03:19.614879 ,relu                 ,              256 ,              0.3 ,7.194143533996698e-08  ,             0.98 ,      0.98   ,0.0018205250032082064  ,                 0.5 ,             20 ,            64 ,small           ,0.9549593177205749    ,PRUNED
53 ,    53 ,-0.014664800000000167 ,2024-01-27 04:31:59.530580 ,2024-01-27 04:35:19.643316 ,0 days 00:03:20.112736 ,relu                 ,              256 ,              0.3 ,1.8493430817002182e-08 ,             0.9  ,      0.999  ,0.003469934101391375   ,                 1.0 ,             20 ,            64 ,small           ,0.7999708116018441    ,PRUNED
54 ,    54 ,2.4162452999999995    ,2024-01-27 04:35:19.643316 ,2024-01-27 04:42:42.772378 ,0 days 00:07:23.129062 ,relu                 ,              256 ,              0.3 ,1.0072004719071791e-08 ,             1.0  ,      0.95   ,0.008858640902661065   ,                 0.7 ,             20 ,            32 ,small           ,0.8623928783894539    ,COMPLETE
55 ,    55 ,-5.0293396999999995   ,2024-01-27 04:42:42.773378 ,2024-01-27 04:46:36.418290 ,0 days 00:03:53.644912 ,relu                 ,              512 ,              0.3 ,3.662050722267603e-08  ,             1.0  ,      0.95   ,0.007762992798121487   ,                 0.7 ,             20 ,            32 ,small           ,0.8511972634591969    ,PRUNED
