,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_learning_rate,state
72,72,-18.0102161,2024-01-25 10:36:12.842794,2024-01-25 10:44:06.295990,0 days 00:07:53.453196,100,0.999,0.004335173169284105,PRUNED
73,73,-18.0137329,2024-01-25 10:44:06.296993,2024-01-25 10:51:58.731855,0 days 00:07:52.434862,100,0.999,0.008100380366027178,PRUNED
74,74,-9.797926100000002,2024-01-25 10:51:58.732863,2024-01-25 10:59:54.116373,0 days 00:07:55.383510,100,0.999,0.0031596269688668323,PRUNED
75,75,-18.0199462,2024-01-25 10:59:54.117376,2024-01-25 11:07:49.850586,0 days 00:07:55.733210,256,0.99,0.0015475001279418768,PRUNED
76,76,-19.086489,2024-01-25 11:07:49.852588,2024-01-25 11:15:46.789063,0 days 00:07:56.936475,32,0.999,0.000654811706039993,PRUNED
77,77,-16.0896739,2024-01-25 11:15:46.790063,2024-01-25 11:23:39.763368,0 days 00:07:52.973305,100,0.995,0.00010420934707581696,PRUNED
78,78,-18.023432500000002,2024-01-25 11:23:39.764370,2024-01-25 11:31:31.292324,0 days 00:07:51.527954,64,0.9,3.4201902672917445e-05,PRUNED
79,79,-18.012278499999997,2024-01-25 11:31:31.293324,2024-01-25 11:39:23.405839,0 days 00:07:52.112515,16,0.999,0.0011061074896117932,PRUNED
80,80,-9.7906127,2024-01-25 11:39:23.406808,2024-01-25 11:47:17.589407,0 days 00:07:54.182599,256,0.98,0.000789644170753541,PRUNED
81,81,-18.0164028,2024-01-25 11:47:17.590409,2024-01-25 11:55:14.651147,0 days 00:07:57.060738,16,0.999,0.006714604562493311,PRUNED
82,82,-18.0156912,2024-01-25 11:55:14.652149,2024-01-25 12:03:10.332435,0 days 00:07:55.680286,16,0.999,0.005752768427982754,PRUNED
83,83,-7.650660999999998,2024-01-25 12:03:10.333435,2024-01-25 12:18:04.739538,0 days 00:14:54.406103,16,0.999,0.008300739766637238,COMPLETE
84,84,-19.691477999999996,2024-01-25 12:18:04.740538,2024-01-25 12:26:11.509719,0 days 00:08:06.769181,16,0.999,0.008424778666555268,PRUNED
85,85,-9.795071799999999,2024-01-25 12:26:11.510721,2024-01-25 12:34:06.213344,0 days 00:07:54.702623,128,0.999,0.0042638714009825985,PRUNED
86,86,-18.015918999999997,2024-01-25 12:34:06.214344,2024-01-25 12:41:57.938059,0 days 00:07:51.723715,512,0.995,0.005109167899063278,PRUNED
87,87,-18.0162175,2024-01-25 12:41:57.939059,2024-01-25 12:49:50.084875,0 days 00:07:52.145816,32,0.95,0.008666895041084298,PRUNED
88,88,-18.0148373,2024-01-25 12:49:50.085877,2024-01-25 12:57:47.265829,0 days 00:07:57.179952,64,0.999,0.0027218137253342883,PRUNED
89,89,-5.5212305,2024-01-25 12:57:47.266830,2024-01-25 13:13:43.481873,0 days 00:15:56.215043,256,0.9999,0.0018260131046844005,COMPLETE
90,90,-18.015270199999996,2024-01-25 13:13:43.483837,2024-01-25 13:23:50.016583,0 days 00:10:06.532746,256,0.9999,0.0017726861754265104,PRUNED
91,91,-9.8181599,2024-01-25 13:23:50.018555,2024-01-25 13:32:04.531682,0 days 00:08:14.513127,256,0.9999,0.0020480523861810883,PRUNED
92,92,-18.017166500000002,2024-01-25 13:32:04.532682,2024-01-25 13:40:44.927202,0 days 00:08:40.394520,256,0.9999,0.003094989844204917,PRUNED
93,93,-18.015681199999996,2024-01-25 13:40:44.927202,2024-01-25 13:49:24.330743,0 days 00:08:39.403541,256,0.9999,0.0014049146676337013,PRUNED
94,94,-18.0162703,2024-01-25 13:49:24.330743,2024-01-25 13:57:41.049075,0 days 00:08:16.718332,16,0.999,0.0025462388334462783,PRUNED
95,95,-19.691477999999996,2024-01-25 13:57:41.049075,2024-01-25 14:06:08.892287,0 days 00:08:27.843212,100,0.995,0.006462004939489208,PRUNED
96,96,-18.012757799999996,2024-01-25 14:06:08.892287,2024-01-25 14:14:54.403544,0 days 00:08:45.511257,256,0.99,0.0036223169129723713,PRUNED
97,97,-18.0113722,2024-01-25 14:14:54.403544,2024-01-25 14:23:34.644374,0 days 00:08:40.240830,64,0.999,0.0011892609854247957,PRUNED
98,98,-18.013750899999998,2024-01-25 14:23:34.644374,2024-01-25 14:32:12.999109,0 days 00:08:38.354735,32,0.995,0.004687077720289249,PRUNED
99,99,-19.691477999999996,2024-01-25 14:32:12.999109,2024-01-25 14:40:52.180822,0 days 00:08:39.181713,16,0.999,0.009810177566682185,PRUNED
