,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_learning_rate,state
61,61,-7.8858264999999985,2024-01-24 03:17:25.580127,2024-01-24 03:21:18.324052,0 days 00:03:52.743925,32,0.999,0.0009126210678392682,PRUNED
62,62,-11.963504799999999,2024-01-24 03:21:18.325020,2024-01-24 03:25:15.439140,0 days 00:03:57.114120,32,0.999,1.2801596743188792e-05,PRUNED
63,63,-5.800982099999999,2024-01-24 03:25:15.440155,2024-01-24 03:29:15.039911,0 days 00:03:59.599756,32,0.999,0.0009017386136099932,PRUNED
64,64,-3.4599713000000003,2024-01-24 03:29:15.040912,2024-01-24 03:33:12.542649,0 days 00:03:57.501737,32,0.999,0.000368719452545461,PRUNED
65,65,-5.8301781,2024-01-24 03:33:12.543650,2024-01-24 03:37:19.817298,0 days 00:04:07.273648,16,0.9,0.0027657519240653124,PRUNED
66,66,-3.668040799999999,2024-01-24 03:37:19.817298,2024-01-24 03:41:15.039467,0 days 00:03:55.222169,128,0.995,0.0006511861602206325,PRUNED
67,67,-3.7096058,2024-01-24 03:41:15.040505,2024-01-24 03:45:44.265761,0 days 00:04:29.225256,8,0.98,0.0002539103613557226,PRUNED
68,68,-9.7115159,2024-01-24 03:45:44.265761,2024-01-24 03:49:30.590719,0 days 00:03:46.324958,64,0.999,0.0015684925408004184,PRUNED
69,69,-3.7683764999999996,2024-01-24 03:49:30.591724,2024-01-24 03:53:23.209957,0 days 00:03:52.618233,256,0.95,0.0004359180205450684,PRUNED
70,70,-5.854039299999999,2024-01-24 03:53:23.210936,2024-01-24 03:57:10.390923,0 days 00:03:47.179987,128,0.995,0.00016156978843246512,PRUNED
71,71,-5.8498715,2024-01-24 03:57:10.391932,2024-01-24 04:00:58.010378,0 days 00:03:47.618446,256,0.95,0.00032909254325603604,PRUNED
72,72,-9.869788999999999,2024-01-24 04:00:58.011377,2024-01-24 04:04:48.276128,0 days 00:03:50.264751,256,0.95,0.0003130672116685464,PRUNED
73,73,-9.784219599999998,2024-01-24 04:04:48.276128,2024-01-24 04:08:32.593676,0 days 00:03:44.317548,256,0.95,0.0011255830996641162,PRUNED
74,74,-11.9983879,2024-01-24 04:08:32.593676,2024-01-24 04:12:20.412481,0 days 00:03:47.818805,256,0.95,0.0005502160191486554,PRUNED
75,75,-7.7803249999999995,2024-01-24 04:12:20.413487,2024-01-24 04:16:07.667682,0 days 00:03:47.254195,256,0.95,0.0007297509338911936,PRUNED
76,76,-13.8762498,2024-01-24 04:16:07.668682,2024-01-24 04:20:19.298008,0 days 00:04:11.629326,16,0.999,0.00018524012938221572,PRUNED
77,77,-3.8150563999999996,2024-01-24 04:20:19.298008,2024-01-24 04:24:18.382130,0 days 00:03:59.084122,32,0.9999,0.00040107264824764907,PRUNED
78,78,-1.7625759999999997,2024-01-24 04:24:18.383109,2024-01-24 04:28:01.852498,0 days 00:03:43.469389,512,0.9,0.00023732433444610457,PRUNED
79,79,-5.722108899999999,2024-01-24 04:28:01.852498,2024-01-24 04:31:55.346160,0 days 00:03:53.493662,256,0.95,1.0255295458981543e-05,PRUNED
80,80,-9.843304,2024-01-24 04:31:55.347161,2024-01-24 04:35:40.949269,0 days 00:03:45.602108,256,0.99,0.00013618849652875735,PRUNED
81,81,-5.7907782,2024-01-24 04:35:40.950280,2024-01-24 04:39:31.533227,0 days 00:03:50.582947,128,0.9,0.006947600139990873,PRUNED
82,82,-7.8359527,2024-01-24 04:39:31.533227,2024-01-24 04:43:25.382142,0 days 00:03:53.848915,128,0.9,0.003985182812733544,PRUNED
83,83,-9.9161055,2024-01-24 04:43:25.383142,2024-01-24 04:47:14.012315,0 days 00:03:48.629173,128,0.9,7.429887019067074e-05,PRUNED
84,84,-5.684025000000001,2024-01-24 04:47:14.013315,2024-01-24 04:50:59.822018,0 days 00:03:45.808703,128,0.995,0.0002705274719961766,PRUNED
85,85,-9.7908972,2024-01-24 04:50:59.823018,2024-01-24 04:55:00.597580,0 days 00:04:00.774562,16,0.98,0.007583373408601878,PRUNED
86,86,-7.708244299999999,2024-01-24 04:55:00.598583,2024-01-24 04:58:45.562908,0 days 00:03:44.964325,512,0.95,1.6341187983627333e-05,PRUNED
87,87,-12.036811599999998,2024-01-24 04:58:45.562908,2024-01-24 05:03:07.813052,0 days 00:04:22.250144,8,0.9999,0.0004841221912006797,PRUNED
88,88,-7.895556999999999,2024-01-24 05:03:07.814057,2024-01-24 05:06:53.254653,0 days 00:03:45.440596,256,0.999,0.003185273471814169,PRUNED
89,89,-5.8176533,2024-01-24 05:06:53.255635,2024-01-24 05:10:43.974479,0 days 00:03:50.718844,64,0.95,0.005156734291331508,PRUNED
90,90,-3.7612769999999998,2024-01-24 05:10:43.975549,2024-01-24 05:14:29.162156,0 days 00:03:45.186607,128,0.9,5.2069810154427376e-05,PRUNED
91,91,-7.648247,2024-01-24 05:14:29.163156,2024-01-24 05:18:16.190801,0 days 00:03:47.027645,256,0.999,0.0011427373874278526,PRUNED
92,92,-9.765162,2024-01-24 05:18:16.191801,2024-01-24 05:22:02.247273,0 days 00:03:46.055472,256,0.999,0.001899522333794228,PRUNED
93,93,-9.839967999999999,2024-01-24 05:22:02.248270,2024-01-24 05:25:50.003041,0 days 00:03:47.754771,256,0.999,0.0014501448108179885,PRUNED
94,94,0.3126949000000001,2024-01-24 05:25:50.004039,2024-01-24 05:33:03.543962,0 days 00:07:13.539923,256,0.999,0.0025078653225387884,COMPLETE
95,95,-9.8169577,2024-01-24 05:33:03.544963,2024-01-24 05:36:52.496928,0 days 00:03:48.951965,256,0.999,0.0007900024647847321,PRUNED
96,96,-16.058029299999998,2024-01-24 05:36:52.497920,2024-01-24 05:40:51.925980,0 days 00:03:59.428060,32,0.995,0.00019603406545270623,PRUNED
97,97,-1.7572927999999997,2024-01-24 05:40:51.927980,2024-01-24 05:44:40.304269,0 days 00:03:48.376289,512,0.9999,0.00891922944696771,PRUNED
98,98,-11.971636399999998,2024-01-24 05:44:40.304269,2024-01-24 05:48:47.884488,0 days 00:04:07.580219,16,0.95,0.002478013209809388,PRUNED
99,99,-12.060663900000002,2024-01-24 05:48:47.885486,2024-01-24 05:52:37.651193,0 days 00:03:49.765707,256,0.999,0.00030706275785244685,PRUNED
