   ,number ,value               ,datetime_start             ,datetime_complete          ,duration               ,params_batch_size ,params_buffer_size ,params_exploration_final_eps ,params_exploration_fraction ,params_gamma ,params_learning_rate   ,params_learning_starts ,params_net_arch ,params_subsample_steps ,params_target_update_interval ,params_train_freq ,state
45 ,    45 ,4.6164883           ,2024-01-26 16:20:37.744013 ,2024-01-26 16:26:13.683951 ,0 days 00:05:35.939938 ,              100 ,             50000 ,        0.11366222433552417  ,       0.19402423142487793  ,      0.99   ,0.0006768695027121344  ,                 10000 ,medium          ,                     2 ,                        20000 ,                1 ,COMPLETE
46 ,    46 ,0.2034027999999995  ,2024-01-26 16:26:13.684951 ,2024-01-26 16:29:01.837870 ,0 days 00:02:48.152919 ,              100 ,             10000 ,        0.11487900591469839  ,       0.19599671075707076  ,      0.95   ,0.0007305824083027008  ,                 10000 ,medium          ,                     8 ,                        20000 ,              256 ,PRUNED
47 ,    47 ,-1.8848837          ,2024-01-26 16:29:01.838869 ,2024-01-26 16:35:27.301530 ,0 days 00:06:25.462661 ,              128 ,             50000 ,        0.1141492158270391   ,       0.2237733504584237   ,      0.999  ,0.0019175061655742572  ,                 10000 ,medium          ,                     2 ,                        20000 ,             1000 ,COMPLETE
48 ,    48 ,0.2730547999999997  ,2024-01-26 16:35:27.302529 ,2024-01-26 16:38:15.940004 ,0 days 00:02:48.637475 ,               32 ,             50000 ,        0.13950357855119672  ,       0.1348913256056977   ,      0.99   ,0.0041592901931483     ,                 20000 ,medium          ,                     2 ,                        20000 ,                1 ,PRUNED
49 ,    49 ,0.30053969999999997 ,2024-01-26 16:38:15.941005 ,2024-01-26 16:41:18.605860 ,0 days 00:03:02.664855 ,              100 ,             50000 ,        0.07817536866238727  ,       0.22987930734216552  ,      0.99   ,0.006376080466088887   ,                     0 ,medium          ,                     8 ,                        20000 ,                1 ,PRUNED
50 ,    50 ,-16.9305735         ,2024-01-26 16:41:18.606860 ,2024-01-26 16:44:15.896702 ,0 days 00:02:57.289842 ,               64 ,             10000 ,        0.0936101273161085   ,       0.1670654298881425   ,      0.9999 ,0.0008321903015743617  ,                 10000 ,medium          ,                     2 ,                            1 ,                1 ,PRUNED
51 ,    51 ,4.617851600000001   ,2024-01-26 16:44:15.897701 ,2024-01-26 16:49:53.435690 ,0 days 00:05:37.537989 ,              100 ,             50000 ,        0.09458437864501415  ,       0.2706576327889142   ,      0.99   ,0.00042253812991028216 ,                 10000 ,medium          ,                     2 ,                        10000 ,                1 ,COMPLETE
52 ,    52 ,0.2698282000000001  ,2024-01-26 16:49:53.436691 ,2024-01-26 16:52:49.534015 ,0 days 00:02:56.097324 ,              100 ,             50000 ,        0.06648706944840366  ,       0.19805003387024692  ,      0.99   ,0.0003774216238713615  ,                 10000 ,medium          ,                     2 ,                        10000 ,                1 ,PRUNED
53 ,    53 ,-1.9639664000000003 ,2024-01-26 16:52:49.535016 ,2024-01-26 16:55:39.304732 ,0 days 00:02:49.769716 ,              100 ,             50000 ,        0.08480590301835406  ,       0.3030137842477801   ,      0.99   ,0.001456631692791646   ,                 10000 ,medium          ,                     2 ,                         1000 ,              128 ,PRUNED
54 ,    54 ,-2.0082219000000006 ,2024-01-26 16:55:39.305732 ,2024-01-26 16:58:34.578299 ,0 days 00:02:55.272567 ,              512 ,            100000 ,        0.11493290077110943  ,       0.23455951723699298  ,      0.99   ,0.0006171692788738024  ,                 10000 ,medium          ,                     1 ,                        10000 ,                4 ,PRUNED
55 ,    55 ,2.4195862999999997  ,2024-01-26 16:58:34.579300 ,2024-01-26 17:01:34.026240 ,0 days 00:02:59.446940 ,              100 ,             50000 ,        0.029936716889557416 ,       0.31531061763256074  ,      0.999  ,0.002586360100136751   ,                  5000 ,medium          ,                     2 ,                         5000 ,                1 ,PRUNED
56 ,    56 ,-16.927780900000002 ,2024-01-26 17:01:34.027242 ,2024-01-26 17:04:21.195332 ,0 days 00:02:47.168090 ,              100 ,             50000 ,        0.09768304704443916  ,       0.26482613756295825  ,      0.9    ,0.0010656482722641134  ,                 20000 ,tiny            ,                     2 ,                        20000 ,             1000 ,PRUNED
57 ,    57 ,4.613776499999999   ,2024-01-26 17:04:21.196331 ,2024-01-26 17:09:48.856495 ,0 days 00:05:27.660164 ,               16 ,            100000 ,        0.07995394820775238  ,       0.1201474117087925   ,      0.95   ,0.00045718544449249347 ,                 10000 ,medium          ,                     1 ,                        10000 ,               16 ,COMPLETE
58 ,    58 ,-16.9648842         ,2024-01-26 17:09:48.856495 ,2024-01-26 17:12:44.840672 ,0 days 00:02:55.984177 ,              128 ,             50000 ,        0.002888191842190177 ,       0.210105155066328    ,      0.995  ,0.0001243095942652981  ,                  1000 ,tiny            ,                     8 ,                        10000 ,                1 ,PRUNED
59 ,    59 ,-16.925240199999998 ,2024-01-26 17:12:44.841674 ,2024-01-26 17:15:34.766741 ,0 days 00:02:49.925067 ,              100 ,             10000 ,        0.1555085896723146   ,       0.04706815488875646  ,      0.99   ,0.00017147210957404812 ,                 10000 ,small           ,                     2 ,                            1 ,              256 ,PRUNED
60 ,    60 ,0.2310242999999997  ,2024-01-26 17:15:34.766741 ,2024-01-26 17:18:33.944566 ,0 days 00:02:59.177825 ,              100 ,             50000 ,        0.05506921016952218  ,       0.18263303283104618  ,      0.99   ,0.0018983049470080618  ,                  1000 ,medium          ,                     2 ,                        20000 ,                1 ,PRUNED
61 ,    61 ,4.585595199999999   ,2024-01-26 17:18:33.945566 ,2024-01-26 17:24:07.396904 ,0 days 00:05:33.451338 ,              100 ,             50000 ,        0.09130698393872297  ,       0.2647158904857513   ,      0.99   ,0.0003730879098138122  ,                 10000 ,medium          ,                     2 ,                        10000 ,                1 ,COMPLETE
62 ,    62 ,4.569564099999999   ,2024-01-26 17:24:07.397905 ,2024-01-26 17:29:39.179137 ,0 days 00:05:31.781232 ,              100 ,             50000 ,        0.10278272345656558  ,       0.275697802259541    ,      0.99   ,0.0008654550399263681  ,                 10000 ,medium          ,                     2 ,                        10000 ,                1 ,COMPLETE
63 ,    63 ,4.6160284           ,2024-01-26 17:29:39.180135 ,2024-01-26 17:35:10.353263 ,0 days 00:05:31.173128 ,              100 ,           1000000 ,        0.09753153250965409  ,       0.15619800477599916  ,      0.99   ,0.00043052922717889714 ,                 10000 ,medium          ,                     2 ,                        10000 ,                1 ,COMPLETE
64 ,    64 ,0.3078751999999995  ,2024-01-26 17:35:10.354264 ,2024-01-26 17:38:05.558535 ,0 days 00:02:55.204271 ,               64 ,           1000000 ,        0.11153604240509293  ,       0.1541300905567493   ,      0.99   ,0.0014102471691237611  ,                 10000 ,medium          ,                     4 ,                        10000 ,                1 ,PRUNED
65 ,    65 ,4.615322400000001   ,2024-01-26 17:38:05.559534 ,2024-01-26 17:43:31.903823 ,0 days 00:05:26.344289 ,              100 ,           1000000 ,        0.0989359565350927   ,       0.21160369376019317  ,      0.9    ,0.0007108120761078257  ,                  5000 ,tiny            ,                     2 ,                         1000 ,                1 ,COMPLETE
66 ,    66 ,0.3378624000000003  ,2024-01-26 17:43:31.904822 ,2024-01-26 17:46:24.687082 ,0 days 00:02:52.782260 ,               32 ,           1000000 ,        0.12147227857287608  ,       0.16314719441583478  ,      0.99   ,0.0001801340289091116  ,                     0 ,medium          ,                     2 ,                         5000 ,               16 ,PRUNED
67 ,    67 ,-12.5888964         ,2024-01-26 17:46:24.688081 ,2024-01-26 17:49:11.555292 ,0 days 00:02:46.867211 ,              100 ,           1000000 ,        0.1683724219791513   ,       0.11883511030549038  ,      0.9999 ,0.0003391495631369979  ,                 10000 ,small           ,                     4 ,                        10000 ,              128 ,PRUNED
68 ,    68 ,-4.041828300000001  ,2024-01-26 17:49:11.556292 ,2024-01-26 17:52:12.780606 ,0 days 00:03:01.224314 ,              512 ,           1000000 ,        0.14343483724485617  ,       0.24934696220233232  ,      0.99   ,0.8733249217785466     ,                  1000 ,medium          ,                     2 ,                        10000 ,                1 ,PRUNED
